Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Es	Es	-1	-1	1	16	188	100	0	ARANAĞME	0.125
2	9	Re5	D5	327	327	1	16	188	95	96		0.25
3	9	Do5#4	C5#4	322	322	1	16	188	95	96	.	0.375
4	9	Re5	D5	327	327	1	16	188	95	96	.	0.5
5	9	Mi5b5	E5b5	331	331	1	8	375	95	96	.	0.75
6	9	Re5	D5	327	327	1	8	375	95	96	.	1.0
7	9	Es	Es	-1	-1	1	16	188	100	0	.	1.125
8	9	Re5	D5	327	327	1	8	375	95	96	.	1.375
9	9	Re5	D5	327	327	1	16	188	95	96	.	1.5
10	9	Mi5b5	E5b5	331	331	1	32	94	95	96	.	1.5625
11	9	Re5	D5	327	327	1	32	94	95	96	.	1.625
12	9	Mi5b5	E5b5	331	331	1	32	94	95	96	.	1.6875
13	9	Fa5	F5	340	340	1	32	94	95	96	.	1.75
14	9	Re5	D5	327	327	1	8	375	95	96	.	2.0
15	9	Es	Es	-1	-1	1	16	188	100	0	.	2.125
16	9	Do5	C5	318	318	1	16	188	95	96	.	2.25
17	9	Si4	B4	314	314	1	16	188	95	96	.	2.375
18	9	Do5	C5	318	318	1	16	188	95	96	.	2.5
19	9	Re5	D5	327	327	1	16	188	95	96	.	2.625
20	9	Do5	C5	318	318	1	16	188	95	90	.	2.75
21	9	Do5	C5	318	318	1	8	375	95	96	.	3.0
22	9	Es	Es	-1	-1	1	16	188	100	0	.	3.125
23	9	Si4b5	B4b5	309	309	1	32	94	95	96	.	3.1875
24	9	La4	A4	305	305	1	32	94	95	96	.	3.25
25	9	Si4b5	B4b5	309	309	1	16	188	95	96	.	3.375
26	9	Do5	C5	318	318	1	16	188	95	96	.	3.5
27	9	Re5	D5	327	327	1	4	750	95	96	.	4.0
28	9	Es	Es	-1	-1	1	16	188	100	0	ARANAĞME	4.125
29	9	Re5	D5	327	327	1	16	188	95	96		4.25
30	9	Do5#4	C5#4	322	322	1	16	188	95	96	.	4.375
31	9	Re5	D5	327	327	1	16	188	95	96	.	4.5
32	9	Mi5b5	E5b5	331	331	1	8	375	95	96	.	4.75
33	9	Re5	D5	327	327	1	8	375	95	96	.	5.0
34	9	Es	Es	-1	-1	1	16	188	100	0	.	5.125
35	9	Re5	D5	327	327	1	8	375	95	96	.	5.375
36	9	Re5	D5	327	327	1	16	188	95	96	.	5.5
37	9	Mi5b5	E5b5	331	331	1	32	94	95	96	.	5.5625
38	9	Re5	D5	327	327	1	32	94	95	96	.	5.625
39	9	Mi5b5	E5b5	331	331	1	32	94	95	96	.	5.6875
40	9	Fa5	F5	340	340	1	32	94	95	96	.	5.75
41	9	Re5	D5	327	327	1	8	375	95	96	.	6.0
42	9	Es	Es	-1	-1	1	16	188	100	0	.	6.125
43	9	Do5	C5	318	318	1	16	188	95	96	.	6.25
44	9	Si4	B4	314	314	1	16	188	95	96	.	6.375
45	9	Do5	C5	318	318	1	16	188	95	96	.	6.5
46	9	Re5	D5	327	327	1	16	188	95	96	.	6.625
47	9	Do5	C5	318	318	1	16	188	95	90	.	6.75
