Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	51			0	0	9	4	0	22	0	Ağıraksak	0.0
2	9	Si5b2	B5b1	365	366	1	16	227	95	96	ARANAĞME	0.0277777777778
3	9	La5	A5	358	358	1	16	227	95	96	.	0.0555555555556
4	9	Sol5	G5	349	349	1	16	227	95	96	.	0.0833333333333
5	9	La5	A5	358	358	1	16	227	95	96	.	0.111111111111
6	9	Sol5	G5	349	349	1	8	455	95	96	.	0.166666666667
7	9	Do6	C6	371	371	1	8	455	95	96	.	0.222222222222
8	7	Si5b2	B5b1	365	366	3	16	682	95	96	.	0.305555555556
9	9	Do6	C6	371	371	1	16	227	95	96	.	0.333333333333
10	7	La5	A5	358	358	3	16	682	95	96	.	0.416666666667
11	9	Si5b2	B5b1	365	366	1	16	227	95	96	.	0.444444444444
12	7	Sol5	G5	349	349	3	16	682	95	96	.	0.527777777778
13	9	La5	A5	358	358	1	16	227	95	96	.	0.555555555556
14	7	Fa5#3	F5#4	343	344	3	16	682	95	96	.	0.638888888889
15	9	Sol5	G5	349	349	1	16	227	95	96	.	0.666666666667
16	7	Mi5b3	E5b4	333	332	3	16	682	95	96	.	0.75
17	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	0.777777777778
18	9	Re5	D5	327	327	1	8	455	95	96	.	0.833333333333
19	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	0.861111111111
20	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	0.888888888889
21	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	0.916666666667
22	9	Re5	D5	327	327	1	16	227	95	96	.	0.944444444444
23	9	Do5	C5	318	318	1	8	455	95	96	.	1.0
24	9	Re5	D5	327	327	1	16	227	95	96	.	1.02777777778
25	9	Do5	C5	318	318	1	16	227	95	96	.	1.05555555556
26	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	1.08333333333
27	9	Do5	C5	318	318	1	16	227	95	96	.	1.11111111111
28	9	Re5	D5	327	327	1	16	227	95	96	.	1.13888888889
29	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	1.16666666667
30	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	1.19444444444
31	9	Sol5	G5	349	349	1	16	227	95	96	.	1.22222222222
32	9	La5	A5	358	358	1	16	227	95	96	.	1.25
33	9	Si5b5	B5b5	362	362	1	16	227	95	96	.	1.27777777778
34	9	La5	A5	358	358	1	16	227	95	96	.	1.30555555556
35	9	Sol5	G5	349	349	1	16	227	95	96	.	1.33333333333
36	9	Fa5#3	F5#4	343	344	1	16	227	95	96	.	1.36111111111
37	9	Mi5b3	E5b4	333	332	1	16	227	95	96	.	1.38888888889
38	9	Re5	D5	327	327	1	16	227	95	96	.	1.41666666667
39	9	Do5	C5	318	318	1	16	227	95	96	.	1.44444444444
40	9	Do5	C5	318	318	3	16	682	95	96	.	1.52777777778
41	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	1.55555555556
42	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	1.58333333333
43	9	Do5	C5	318	318	1	16	227	95	96	.	1.61111111111
44	9	Si4b2	B4b1	312	313	1	16	227	95	96	.	1.63888888889
